name,value,label
HSBCLULL,374,"HSBC Bank Plc., Luxembourg branch"
ERBKLULL,151,Eurobank Private Bank Luxembourg S.A.
EWUBLULL,082,East West United Bank S.A.
EFGBLULX,343,EFG Bank (Luxembourg) S.A.
PRIBLULL,172,Edmond de Rothschild (Europe) (formerly Banque Privée Edmond de Rothschild Europe)
EEPKLULL,315,Erste Europäische Pfandbrief- und Kommunalkreditbank Aktiengesellschaft in Luxemburg
PBNKLULL,265,Deutsche Postbank International S.A.
PBNKLULL,387,"Deutsche Postbank AG Zweigniederlassung Luxemburg (formerly Deutsche Postbank AG, Niederlassung Luxemburg)"
DXIALULL,352,Dexia LdG Banque S.A.
DELELULL,305,Delen Private Bank Luxembourg S.A.
DABALULL,093,Danske Bank International S.A.
DGZFLULI,040,DekaBank Deutsche Girozentrale Luxembourg S.A.
DGZFLULL,135,"DekaBank Deutsche Girozentrale, succursale de Luxembourg"
DEUTLULB,259,"Deutsche Bank A.G., Frankfurt (Allemagne), succursale de Luxembourg (formerly Deutsche Bank A.G., succursale de Luxembourg)"
DEUTLULL,036,Deutsche Bank Luxembourg S.A.
GENOLULL,107,DZ PRIVATBANK S.A.
UBNLLULL,143,DNB Luxembourg S.A.
CBLULULX,189,Cornèr Banque (Luxembourg) S.A.
PBILLULL,314,DEPFA Pfandbrief Bank International S.A. (formerly Hypo Pfandbrief Bank International S.A.)
CRESLULL,078,Crédit Suisse (Luxembourg) S.A.
CBPXLULL,350,"Compagnie de Banque Privée Quilvest S.A., en abrégé CBP Quilvest S.A."
CRDMLULL,076,Credem International (Lux)
CMBCLULL,391,"China Merchants Bank Co., Limited Luxembourg Branch"
CEDELULL,289,Clearstream Banking S.A.
CITCLULL,349,"Citco Bank Nederland N.V., Amsterdam (Pays-Bas), Luxembourg branch (formerly Citco Bank Nederland N.V., Luxembourg Branch)"
COBALULX,032,Commerzbank International S.A.
EEPKLULL,184,Commerzbank Finance & Covered Bond S.A. (formerly EUROHYPO Europäische Hypothekenbank S.A.)
COBALULU,347,"Commerzbank AG, Filiale Luxemburg"
CITILULX,034,"Citibank International Limited, Luxembourg Branch (formerly Citibank International Plc (Luxembourg Branch))"
PCBCLULL,375,China Construction Bank (Europe) S.A.
CGDILUL1,302,"Caixa Geral de Depósitos SA, Lisboa (Portugal), succursale de Luxembourg (formerly Caixa Geral de Depósitos SA, succursale de Luxembourg)"
CITILULX,395,"Citibank Europe plc, Luxembourg Branch"
INVKLULL,194,CATELLA BANK S.A.
BSUILULL,007,CACEIS Bank Luxembourg
BBHCLULL,178,Brown Brothers Harriman (Luxembourg) S.C.A.
AGRILULA,331,CA Indosuez Wealth (Europe) (formerly Crédit Agricole Luxembourg)
