branch_name,swift_code
Leaseplan Corporation N.V.,LPLNNL2AXXX
Lanschot Bankiers Nv F. Van,FVLBNL22AMS
Lanschot Bankiers Nv F. Van,FVLBNL22XXX
"Korea Exchange Bank, Amsterdam Branch",KOEXNL2AXXX
Koninklijke Philips Electronics N.V.,KOPLNL2EXXX
Koninklijke Philips Electronics N.V.,KOPLNL21XXX
Kempen Capital Management Nv,KECANL2AXXX
Kempen And Co N.V.,KEMPNL2AXXX
Kbc Bank Nederland Nv,KREDNL2XXXX
Koninklijke Kpn Nv,KPNCNL2GXXX
Kas Internal Use,KASANL2AECL
Kas Bank N.V,KASANL2AXXX
Telex And S.W.I.F.T. Message Enquiries,CHASNL2XENQ
Test Key And Bke Administration,CHASNL2XKEY
"Jp Morgan Chase Bank, N.A",CHASNL2XXXX
"Intesa Sanpaolo S.P.A. (Former Sanpaolo Imi), Amsterdam Branch, Amsterdam",BCITNL2AXXX
"Isbank Gmbh, Amsterdam Branch",ISBKNL2AAMS
"Isbank Gmbh, Amsterdam Branch",ISBKNL2AXXX
Ing Investment Management,INGINL2GXXX
"Ing Belgium Nv/Sa (Formerly Bank Brussels Lambert Sa, Breda Branch)",BBRUNL2XXXX
Ing Bank N.V.,INGBNL2ACLS
Ing Bank N.V.,INGBNL2AXXX
Fss,INGBNL2SFSS
Securities Services Nl,INGBNL2SPAS
Securities Services Nl,INGBNL2SSMK
Securites Services Nl,INGBNL2SWIA
Ing Bank N.V.,INGBNL2AGPC
Ing Bank N.V.,INGBNL2ALMI
Industrial And Commercial Bank Of China (Europe) S.A. Amsterdam Branch,ICBKNL2AXXX
Icl Finance Bv,ICFNNL2AXXX
Bank Insinger De Beaufort Nv,INSINL2ANRA
Bank Insinger De Beaufort Nv,INSINL2AXXX
Robeco Nederland,RGRBNL2RAMI
Robeco Nederland,RGRBNL2RASG
Robeco Nederland,RGRBNL2RBAL
Robeco Nederland,RGRBNL2RBIO
Robeco Nederland,RGRBNL2RBLA
Robeco Nederland,RGRBNL2RBMI
Robeco Nederland,RGRBNL2RCOO
Robeco Nederland,RGRBNL2RDIV
Robeco Nederland,RGRBNL2RDUU
Robeco Nederland,RGRBNL2RDYN
Robeco Nederland,RGRBNL2RELD
Robeco Nederland,RGRBNL2REUD
Robeco Nederland,RGRBNL2RHBZ
Robeco Nederland,RGRBNL2RHDM
Robeco Nederland,RGRBNL2RHIF
Robeco Nederland,RGRBNL2RHMX
Robeco Nederland,RGRBNL2RHOF
Robeco Nederland,RGRBNL2RHON
Robeco Nederland,RGRBNL2RHYO
Robeco Nederland,RGRBNL2RICA
Riam,RGVMNL2RABA
Rgvmnl2r,RGVMNL2RALA
Robeco Institutional Asset Management B.V.,RGVMNL2RANN
Riam,RGVMNL2RAVE
Riam,RGVMNL2RBBK
Riam,RGVMNL2RBLI
Riam,RGVMNL2RBLT
Riam,RGVMNL2RBOO
Riam,RGVMNL2RCAL
Riam,RGVMNL2RCAT
Riam,RGVMNL2RCLF
Riam,RGVMNL2RCON
Riam,RGVMNL2RCRE
Riam,RGVMNL2RCRL
Riam,RGVMNL2RCYG
Riam,RGVMNL2RDAK
Riam,RGVMNL2RDAR
Riam,RGVMNL2RDCO
Robeco Institutional Asset Management B.V.,RGVMNL2RDHO
Riam,RGVMNL2RDIE
Regiobank,RBRBNL21XXX
Only Use On Request,RABONL2UBRO
For Cls Only,RABONL2UCLS
Only Use On Request,RABONL2UIBS
Only Use On Request,RABONL2UPBO
Rabobank Securities,RABONL2URSA
Only Use On Request,RABONL2USCR
"Utrecht Equity Finance, For Eses Cash Account Only",RABONL2UUEF
And All Member Rabobanks,RABONL2UXXX
Only Use On Request,RABONL2UTCF
Pggm,PGGMNL22XXX
Perfetti Van Melle Holding B.V.,PEMHNL22XXX
Nv Settlement Bank Of The Netherlands,SBNLNL2AXXX
Nv Bank Nederlandse Gemeenten,BNGHNL2GXXX
Nv Bank Nederlandse Gemeenten,BNGHNL2GNMC
Nomura Asia Holding N.V.,NAHLNL2AXXX
Retail Markets Branch 1,DNIBNL2GRM1
Nibc Bank N.V,DNIBNL2GXXX
Nederlandse Waterschapsbank N.V.,NWABNL2GXXX
Nederlandse Waterschapsbank N.V.,NWABNL2GNMC
Nederlandse Financierings-Maatschappij Voor Ontwikkelingslanden N.V.,NFMONL2GXXX
Nederlandsche Bank (De) N.V.,ECMSNL2AXXX
Agency Amsterdam,FLORNL2AAMD
Dnb/Eses Cross Ncb Position With Nbb,FLORNL2ABEX
Dnb/Eses Contingency Account,FLORNL2ACAC
Ccbm,FLORNL2ACCB
Nederlandsche Bank (De) N.V.,FLORNL2ACON
Currency Department,FLORNL2ACUR
Dnb/Eses Mirror/Technical Account,FLORNL2AECL
Euro Operations,FLORNL2AEUR
Target2 Ecb/Ncb Account,FLORNL2AEUX
Controllers Department,FLORNL2AFEB
Foreign Exchange,FLORNL2AFEX
Dnb/Eses Cross Ncb Position With Bdf,FLORNL2AFRX
Guilders Funds Transfer,FLORNL2AGFT
Nederlandsche Bank (De) N.V.,FLORNL2AXXX
N.V. Bank Voor De Bouwnijverheid,BOUNNL2AXXX
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2A777
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2AINT
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2ALE1
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2ALE2
Target2,ESESNL2AT2X
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2AXXX
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2AFDB
Nederlands Centraal Instituut Voor Giraal Effectenverkeer,ESESNL2AISS
Nationale-Nederlanden Bank N.V.,NNBANL2GXXX
Treasury,NNBANL2GTRY
Mn Services Nv (Investment Management),MNSNNL22XXX
Triodos Bank Nv,TRIONL2UXXX
Tp Vision Holding Bv,TPVINL2EXXX
Theodoor Gilissen Bankiers N.V.,GILLNL2AXXX
Rbs Nl,RBOSNL2AXXX
Rbs Nv Gbm Loan Operations,RBOSNL2RGLO
Global Banking And Markets Operations,RBOSNL2RTCM
The Royal Bank Of Scotland N.V.,RBOSNL2RXXX
The Royal Bank Of Scotland N.V.,RBOSNLNVNMC
The Royal Bank Of Scotland N.V.,RBOSNLNVXXX
Td Waterhouse Bank Nv,TDOMNL2AXXX
Syntrus Achmea Asset Management,SYAVNL22XXX
Ordering And Billing Services,SWHQNLNLSVC
Swift Customer Service Centre Europe,SWHQNLNLXXX
Svenska Handelsbanken (Publ) Ab,HANDNL2AXXX
Svenska Handelsbanken (Publ) Ab,HANDNL2ACOL
Svenska Handelsbanken (Publ) Ab,HANDNL2APM2
Subway International B.V.,SUBTNL2AXXX
Subway International B.V.,SUBTNL21XXX
Standard Chartered Latin America B.V.,SCBLNL2AXXX
Staalbankiers N.V.,STALNL2GXXX
Staalbankiers N.V.,STALNL2GNMC
Sg Amsterdam Trade Service,SOGENL2ATRA
Societe Generale,SOGENL2AXXX
Sociale Verzekeringsbank,SOVENL2AXXX
Sns Bank N.V.,SNSBNL2AXXX
Securities,SNSBNL2ASEC
Securities,SNSBNL2ABOS
Financial Markets,SNSBNL2ASFM
Sns Asset Management,SNSINL2AXXX
Shell Asset Management Company B.V.,SHELNL2GXXX
Shell Asset Management Company B.V.,SAGMNL21XXX
Schretlen En Co N.V.,SCRTNL2AXXX
Schlumberger Finance Bv,SFBVNL2GSHB
Schlumberger Finance Bv,SFBVNL2GXXX
Sabic Capital Bv,SBBVNL2AXXX
Roche Pharmholding B.V.,ROCHNL22XXX
Mizuho Corporate Bank Nederland N.V.,MHCBNL2AXXX
Mega International Commercial Bank Co. Ltd,ICBCNL2AXXX
Adyen B.v.,ADYENL21XXX
Adviesgroep Reyersen Van Buuren B.v,ADRBNL21XXX
Adviesbureau Voor Vermogens-beheer Van Grafhorst B.v.,AVBGNL21XXX
Acona Bv,ACOANL21XXX
Achmea Bank Holding N.v.,ACHLNL21XXX
Accent Tonique B.v.,ACTONL21XXX
Accent Grave B.v.,AGRVNL21XXX
Accent Aigu B.v.,ACCINL21XXX
Abr Financial B.v.,ABRFNL21XXX
Aagus Financial Services Group N.v.,AFSRNL21XXX
323 Trading B.v.,TRNGNL21XXX
2b Trading B.v.,TRNINL21XXX
Sns Property Finance B.v.,SNPFNL21XXX
Societe Financiere Et Fonciere,SOFFNL21XXX
Union Bancaire Privee,UNBVNL21XXX
Zwitserlevenbank,ZWLBNL21XXX
