name,value,label
BCOEESMM,3140,"Caja R. de Guissona, S.C.C."
BCOEESMM,3008,"Caja R. de Navarra, S.C.C."
BCOEESMM,3009,"Caja R. de Extremadura, S.C.C."
BCOEESMM,3023,"Caja R. de Granada, S.C.C."
BCOEESMM,3063,"Caja R. de Córdoba, S.C.C."
CCRIES2A,3121,"Caja R. de Cheste, S.C.C."
BCOEESMM,3104,Caja R. de Cañete de las Torres Ntra. Sra. del Campo S.C.A.C.
BCOEESMM,3081,"Caja R. de Castilla la Mancha, S.C.C"
CCRIES2A,3137,Caja R. de Casinos S.C.C.V.
BCOEESMM,3127,"Caja R. de Casas Ibáñez, S. Coop.- C.C.A."
BCOEESMM,3089,"Caja R. de Baena Ntra. Sra. de Guadalupe, S.C.C.A."
CCRIES2A,3177,"Caja R. de Canarias, S.C.C."
BCOEESMM,3059,"Caja R. de Asturias, S.C.C."
BCOEESMM,3001,"Caja R. de Almendralejo, S.C.C."
CCRIES2A,3179,"Caja R. de Alginet, S.C.C.V."
BCOEESMM,3150,"Caja R. de Albal, C.C.V."
CCRIES2A,3095,Caja R. S. Roque de Almenara S.C.C.V.
CCRIES2A,3135,"Caja R. S. José de Nules, S.C.C.V."
BCOEESMM,3113,"Caja R. S. José de Alcora, S.C.C.V."
CCRIES2A,3112,"Caja R. S. José de Burriana, S.C.C.V,"
BCOEESMM,3130,"Caja R. S. José de Almassora, S.C.C.V."
CCRIES2A,3119,"Caja R. S. Jaime de Alquerías Niño Perdido, S.C.C.V."
CCRIES2A,3165,"Caja R. S. Isidro de Vilafames, S.C.C.V."
BCOEESMM,3098,"Caja R. Ntra. Sra. del Rosario, S.C.A.C"
BCOEESMM,3134,"Caja R. Ntra. Sra. la Esperanza de Onda, S.C.C.V."
BCOEESMM,3115,"Caja R. Nuestra Madre del Sol, S.C.A.C."
CDENESBB,3025,Caixa de C. dels Enginyers-C.C. Ingenieros S.C.C.
CLPEES2M,3035,"Caja Laboral Popular, C.C."
CAIXESBB,2100,"CaixaBank, S.A"
BCOEESMM,3116,"Caja R. Comarcal de Mota del Cuervo, S.C.L.C.A."
BCOEESMM,3005,"Caja R. Central, S.C.C."
CCRIES2A,3110,"Caja R. Católico Agraria, S.C.C.V."
CCRIES2A,3118,"Caixa Rural Torrent, C.C.V."
BCOEESMM,3096,Caixa R. de L'Alcudia. S.C.V.C.
BCOEESMM,3174,"Caixa Rural Vinarós, S.C.C.V."
CCRIES2A,3123,"Caixa R. de Turis, C.C.V."
CCRIES2A,3105,Caixa R. de Callosa D'En Sarrià. C.C.V.
CCRIES2A,3102,"Caixa R. S. Vicent Ferrer de la Vall d´Uixó, C.C.V."
CCRIES2A,3160,"Caixa R. Sant Josep de Vilavella, S.C.C.V"
