name,value,label
CMCIFRCP,30066,Crédit industriel et commercial - CIC (formerly Credit Industriel et Commercial)
DEUTFRPP,17789,Deutsche bank AG (formerly Deutsche bank ag)
CIRNFR21,12308,Crédit immobilier de France Nord
CRFLFR21,16640,Crédit financier lillois
CDMAFRPX,11778,Crédit du Maroc
CCBPFRPP,10638,Crédit commercial du Sud-Ouest
NORDFRPP,30076,Crédit du Nord
AGRIFRP1,16850,Crédit agricole leasing & factoring (formerly Crédit agricole leasing et factoring)
CCOPFRCP,42559,Crédit coopératif (formerly Groupe Credit Cooperatif)
BPCEFRPP,43199,Crédit Foncier de France
BSUIFRPP,31489,Crédit agricole corporate and investment bank
AGRIFRCC,30006,Crédit Agricole S.A.
AARBFRP1,18889,Cortal Consors
RABOFRPP,10218,Coöperatieve Rabobank U.A. (formerly Rabobank nederland - rabobank international)
COANFRP1,15380,Conservateur Finance
CMCIFRPA,22040,Confédération Nationale du Crédit Mutuel
CGCPFRPL,18189,Compagnie générale de crédit aux particuliers - Crédipar (formerly Credipar)
CCBIFRP1,17869,Compagnie de banques internationales de paris
CFFOFRCC,30051,Compagnie de financement foncier
COOFFRP1,18000,Cofitem-cofimur
CFFIFR2L,14940,Cofidis
cofefr2p,11790,Cofacrédit
COBAFRPX,17629,Commerzbank ag
CHDUFRPP,10918,Cholet Dupont
SOAPFR22,19870,Carrefour banque
CCBPFRPP,17169,Caisse régionale de crédit maritime mutuel du littoral du sud ouest (formerly Caisse régionale du crédit maritime mutuel du littoral du sud ouest)
CGDIFRPP,12619,"Caixa geral de depositos S.A. (formerly Caixa Geral de Depositos, S.A. (Paris))"
CMMMFR21,17179,Caisse régionale de crédit maritime mutuel de la Méditerranée
CCBPFRPP,17149,Caisse régionale de crédit maritime mutuel de Bretagne-Normandie
CMDMGPG1,15358,Caisse régionale de crédit maritime mutuel d'outre mer
CCBPFRPP,17219,Caisse régionale de crédit maritime mutuel Atlantique
AGRIFRCC,10206,Caisse régionale de crédit agricole mutuel du Nord Est (formerly CRCAM Nord Est)
AGRIFRCC,16006,Caisse régionale de crédit agricole mutuel du Morbihan (formerly CRCAM Morbihan)
AGRIFRCC,13506,Caisse régionale de crédit agricole mutuel du Languedoc
AGRIFRCC,12906,Caisse régionale de crédit agricole mutuel du Finistère (formerly CRCAM Finistere)
AGRIFRCC,19506,Caisse régionale de crédit agricole mutuel du Centre Ouest (formerly CRCAM du Centre-Ouest)
AGRIFRCC,18106,Caisse régionale de crédit agricole mutuel des Savoie - Crédit agricole des Savoie (formerly Caisse Regionale de Credit Agricole Mutuel des Savoie)
AGRIFRCC,12206,Caisse régionale de crédit agricole mutuel des Côtes-d'Armor (formerly CRCAM Cotes d'Armor)
AGRIFRCC,19406,Caisse régionale de crédit agricole mutuel de la Touraine et du Poitou (formerly CRCAM de la Touraine et du Poitou)
AGRIRERX,19906,Caisse régionale de crédit agricole mutuel de la Réunion (formerly CRCAM de la Reunion)
AGRIFRCC,12006,Caisse régionale de crédit agricole mutuel de la Corse
AGRIGPGX,14006,Caisse régionale de crédit agricole mutuel de la Guadeloupe (formerly CRCAM de Guadeloupe)
AGRIFRCC,16606,Caisse régionale de crédit agricole mutuel de Normandie
AGRIMQMX,19806,Caisse régionale de crédit agricole mutuel de la Martinique et de la Guyane (formerly Caisse Régionale de Crédit Agricole Mutuel de la Martinique)
AGRIFRCC,17906,Caisse régionale de crédit agricole mutuel de l'Anjou et du Maine (formerly CRCAM Anjou et du Maine)
AGRIFRCC,18206,Caisse régionale de crédit agricole mutuel de Paris et d'Ile-de-France (formerly CRCAM Paris et Ile-de-France)
AGRIFRCC,16106,Caisse régionale de crédit agricole mutuel de Lorraine (formerly Caisse régionale de crédit agricole mutuel de Lorraine-Crédit agricole de Lorraine)
AGRIFRCC,12506,Caisse régionale de crédit agricole mutuel de Franche-Comté (formerly CRCAM Franche-Comte)
AGRIFRCC,11006,Caisse régionale de crédit agricole mutuel de Champagne-Bourgogne (formerly CRCAM de Champagne Bourgogne)
AGRIFRCC,16806,Caisse régionale de crédit agricole mutuel de Centre France - Crédit agricole Centre France (3ème du nom)
AGRIFRCC,13606,Caisse régionale de crédit agricole mutuel d'Ille-et-Vilaine (formerly CRCAM Ille-et-vilaine)
AGRIFRCC,13306,Caisse régionale de crédit agricole mutuel d'Aquitaine (formerly CRCAM Aquitaine)
AGRIFRCC,14406,Caisse régionale de crédit agricole mutuel Val de France (formerly CRCAM Val de France)
AGRIFRCC,17106,Caisse régionale de crédit agricole mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales) (formerly Caisse Regionale de Credit Agricole Mutuel Sud-Mediterranee)
AGRIFRCC,13906,Caisse régionale de crédit agricole mutuel Sud Rhône-Alpes (formerly CRCAM Sud Rhone Alpes)
AGRIFRCC,13106,Caisse régionale de crédit agricole mutuel Toulouse 31 (formerly Caisse Régionale de Crédit Agricole Mutuel de Toulouse et du Midi Toulousain)
AGRIFRCC,11306,Caisse régionale de crédit agricole mutuel d'Alpes-Provence (formerly Caisse Regionale de Credit Agricole Mutuel Alpes Provence)
AGRIFRCC,19106,Caisse régionale de crédit agricole mutuel Provence-Côte d'Azur (Alpes de Haute-Provence-Alpes-maritimes-Var) (formerly Caisse Regionale de Credit Agricole Mutuel Provence Cote d'Azur)
AGRIFRCC,16906,Caisse régionale de crédit agricole mutuel Pyrénées-Gascogne (formerly CRCAM Pyrenees Gascogne)
AGRIFRCC,11206,Caisse régionale de crédit agricole mutuel Nord Midi-Pyrénées
AGRIFRCC,16706,Caisse régionale de crédit agricole mutuel Nord de France (formerly CRCAM Nord de France)
AGRIFRCC,14506,Caisse régionale de crédit agricole mutuel Loire - Haute-Loire (formerly Caisse Regionale de Credit Agricole Mutuel de Loire-Haute Loire)
AGRIFRCC,12406,Caisse régionale de crédit agricole mutuel Charente-Périgord (Crédit agricole Charente-Périgord) (formerly Caisse Regionale de Credit Agricole Mutuel Charente Perigord)
AGRIFRCC,18306,Caisse régionale de crédit agricole mutuel Normandie-Seine (formerly Caisse Regionale de Credit Agricole Mutuel de Normandie-Seine)
AGRIFRCC,11706,Caisse régionale de crédit agricole mutuel Charente-Maritime Deux-Sèvres (formerly Caisse Regionale de Credit Agricole Mutuel de Charente-Maritime Deux Sevres)
AGRIFRCC,14806,Caisse régionale de crédit agricole mutuel Centre Loire (formerly Caisse Regionale de Credit Agricole Mutuel de Centre Loire)
AGRIFRCC,17806,Caisse régionale de crédit agricole mutuel Centre-Est (formerly CRCAM Centre Est)
AGRIFRCC,18706,Caisse régionale de crédit agricole mutuel Brie Picardie
AGRIFRCC,14706,Caisse régionale de crédit agricole mutuel Atlantique Vendée
AGRIFRCC,17206,Caisse régionale de crédit agricole mutuel Alsace Vosges (formerly CRCAM Alsace Vosges)
CMCIFRCP,15489,Caisse fédérale du crédit mutuel de Maine-Anjou et Basse-Normandie (formerly Caisse Federale du Credit Mutuel de Maine-Anjou Basse Normandie)
CRMUFRCC,15519,Caisse fédérale du crédit mutuel Océan
CMCIFRCP,10278,Caisse fédérale de crédit mutuel
CDCGFRPP,00006,Caisse des dépôts et consignations - fonds d'épargne (formerly Fonds d'Epargne - CDC)
CMCIFRCP,15629,Caisse fédérale du crédit mutuel Nord Europe
CDCGFRPP,40031,Caisse des dépôts et consignations - section générale (formerly Caisse des Depots et Consignations)
CCUTFR21,17150,Caisse de crédit municipal de Toulon
CMROFR21,18450,Caisse de crédit municipal de Roubaix
CCMNFR21,17620,Caisse de crédit municipal de Nîmes (formerly Caisse De Crédit Municipal De N®mes)
CCMTFR21,18470,Caisse de crédit municipal de Nantes
CCMRFR21,10140,Caisse de crédit municipal de Marseille
CCMLFR21,18050,Caisse de crédit municipal de Lyon
CMUBFR21,16170,Caisse de crédit municipal de Boulogne-sur-Mer
CCMOFR21,16560,Caisse de crédit municipal de Bordeaux
CMDIFR21,28570,Caisse de crédit municipal de Dijon
CSCAFR21,18950,Caisse de crédit municipal d'Avignon
AGRIFRPP,39996,Caisse Nationale de Crédit Agricole Mutuel - Organe Central du Réseau du Crédit Agricole Mutuel Code Créé pour les Besoins de la Commission Bancaire et de la DESM
CCIFFRPP,18609,Caisse centrale du crédit immobilier de France-3CIF (formerly Caisse Centrale du Credit Immobilier de France (3CIF) (CIFD group))
CMCIFRCP,45539,Caisse centrale du crédit mutuel
DXMAFRCC,14388,Caisse Française de Financement Local (formerly Dexia municipal agency)
CPBIFRPP,21670,CP Or devises (formerly Cpr billets)
CNFSFR21,15448,CNH Industrial Financial Services (formerly CNH Financial services)
CMCIFRP1,11978,CM-CIC Factor
CMPCFRP1,50140,CMP-Banque
SIBLFRPP,43799,CA INDOSUEZ WEALTH (FRANCE) (formerly Banque de gestion privee indosuez - bgpi)
ISAEFRPP,18129,CACEIS Bank France (formerly CACEIS Bank)
CCBPFRPP,11307,CASDEN Banque Populaire
BYBBFRPP,23779,Byblos bank Europe
CPMEFRPP,18359,Bpifrance Financement (formerly OSEO financement)
AGRIFRP1,41539,CA Consumer Finance
CITIFRPP,11689,CITIBANK EUROPE PUBLIC LIMITED COMPANY (formerly Citibank international plc - Citigroup)
BOUSFRPP,40618,Boursorama
BIFAFR21,15218,Bibby factor France
BFOBFRP1,16218,Bforbank
BLOMFRPP,17599,Blom bank France
BIKCFRP1,15818,Binckbank NV
BARCFRPP,30588,Barclays bank plc
CCBPFRPP,14607,Banque populaire provençale et Corse
CCBPFRPP,13507,Banque populaire du Nord
CCBPFRPP,16607,Banque populaire du Sud
CCBPFRPP,11907,Banque populaire du Massif central
CCBPFRPP,16807,Banque populaire des Alpes
CCBPFRPP,16707,Banque populaire de l'Ouest
CCBPFRPP,17607,Banque populaire d'Alsace
CCBPFRPP,18707,Banque populaire Val de France (2ème du nom)
CCBPFRPP,13907,Banque populaire Loire et Lyonnais
CCBPFRPP,10207,Banque populaire Rives de Paris
CCBPFRPP,10807,Banque populaire Bourgogne Franche-Comté
CCBPFRPP,17807,Banque populaire Occitane
CCBPFRPP,15607,Banque populaire Côte d'Azur
CCBPFRPP,13807,Banque populaire Atlantique
CCBPFRPP,14707,Banque populaire Alsace Lorraine Champagne (formerly Banque Populaire Lorraine Champagne)
CCBPFRPP,10907,Banque populaire Aquitaine Centre Atlantique
BICFFRPP,40398,Banque internationale de commerce - BRED
MOFIFR21,18879,Banque monétaire et financière - B.M.F. (formerly Banque Monetaire et Financiere)
PAIMFRP1,11468,Banque patrimoine et immobilier (B.P.I.)
CMCIFRPA,11808,Banque fédérative du crédit mutuel (formerly Banque Federative du Credit Mutuel (BFCM))
FEMUFR21,18869,Banque française mutualiste - B.F.M. (formerly Banque federale mutualiste -b.f.m.)
BFECGPGX,18729,Banque française commerciale Antilles-Guyane - B.F.C. Antilles-Guyane
BFCORERX,18719,Banque française commerciale Océan Indien - B.F.C. Océan Indien
FRABFRP1,41599,Banque francaise
GRCSFRP1,14628,Banque du groupe Casino
BATIFRP1,30258,Banque du bâtiment et des travaux publics - BTP banque
RGFIFRPP,11210,Banque de réalisations de gestion et de financement - Régéfi
BSAVFR2C,10548,Banque de Savoie
BFTRFRPP,44149,Banque d'escompte
BCGEFR21,12468,Banque cantonale de Genève (France) S.A.
CMCIFR2A,13298,Banque commerciale du marché nord Europe-BCMNE
BACPFRPP,17519,Banque centrale de compensation
TRAVFRP1,42649,Banque Travelex S.A.
BDEIFRPP,11449,Banque Thémis
