name,value,label
ICRAITMMQY0,08970,Banca di Rimini Credito Cooperativo Società Cooperativa
BATBIT2TXXX,03240,Banca di Trento e Bolzano Spa
BDVIIT21XXX,08931,Banca di Viterbo Credito Cooperativo Scrl
SVIUITRRXXX,03139,Banca per Lo Sviluppo della Cooperazione di Credito Spa
BATAIT2SXXX,03053,Bancaperta Spa
BBVAITMMXXX,03576,Banco Bilbao Vizcaya Argentaria SA
BRASITMMXXX,03465,Banco Do Brasil SA
BERBIT2BXXX,03149,Banco Emiliano Romagnolo Spa
BAPPIT22XXX,05034,Banco Popolare - Società Cooperativa
AZZBITT2XXX,03425,Banco di Credito Paolo Azzoaglio Spa
BDBDIT22XXX,03440,Banco di Desio e della Brianza Spa
IBSPITNAXXX,01010,Banco di Napoli S.P.A.
BOFAIT2XXXX,03380,Bank of America National Association Ltd
BKCHITMMXXX,03093,Bank of China Ltd
BCDMITM1XXX,03387,Banque Chaabi Du Maroc
PSABITM1XXX,03101,Banque Psa Finance SA
BARCIT4GXXX,03051,Barclays Bank plc
BHBEIT21XXX,03073,Bhw Bausparkasse AG
BNPAITMMXXX,03181,Bnp Paribas SA
PARBITMHXXX,03479,Bnp Paribas Securities Services SA
POVEIT33XXX,05602,Bp Vesuviana Società Cooperativa
BSVIITNNXXX,05023,Bp di Sviluppo Società Cooperativa per Azioni
CRSMIT3SXXX,06300,C.R. di San Miniato S.P.A.
IBSPIT2UXXX,06340,CR del Friuli Venezia Giulia S.P.A.
IBSPIT2PXXX,06225,CR del Veneto Spa
CRPCIT3JXXX,06050,CR della Provincia di Chieti Spa
TERCIT3TXXX,06060,CR della Provincia di Teramo Spa
CRVIIT3VXXX,06065,CR della Provincia di Viterbo Spa
CRFIIT2SXXX,06030,CR della Spezia Spa
RIALIT2AXXX,06075,CR di Alessandria Spa
CRAPIT3AXXX,06080,CR di Ascoli Piceno Spa
CASRIT22XXX,06085,CR di Asti Spa
CRBIIT2BXXX,06090,CR di Biella e Vercelli Spa
CRBZIT2BXXX,06045,CR di Bolzano Spa
CRBRIT22XXX,06095,CR di Bra Spa
CRCEIT2CXXX,06115,CR di Cento Spa
CRCCIT3CXXX,06125,CR di Città di Castello Spa
CRFIIT2CXXX,06130,CR di Civitavecchia Spa
